Style;Size(L);OG;FG;ABV;IBU;Color;BoilSize;BoilTime;BoilGravity;Efficiency;MashThickness;PitchRate;PrimaryTemp
American IPA;220;1074;1012;811;7915;1233;268;60;1061;630;30;35;200
Sweet Stout;4353;1063;1023;525;2923;4714;530;70;1052;800;133;10;
American IPA;100;105;1012;501;11305;584;164;60;1031;650;30;;200
American Pale Ale;2082;105;1012;488;4209;642;2839;60;1036;750;15;;200
American IPA;2082;1028;1005;305;5932;478;2839;60;1021;350;;;200
American Pale Ale;1893;106;1016;57;4014;863;265;60;1043;700;15;;
American Pale Ale;230;1053;1,009E+16;575;4303;947;285;60;1042;700;25;75;180
American IPA;2082;1057;1013;579;7237;568;2461;60;1048;500;15;;1889
American IPA;1893;1063;1016;616;9903;87;946;60;1125;700;;;
American IPA;50;1051;101;539;895;267;70;60;1036;800;;5;180
American IPA;250;105;1014;471;6473;537;300;60;1041;670;;;190
Saison;1703;1055;1006;643;2239;448;2271;90;1041;880;;;
American IPA;300;1061;1015;612;3519;628;385;60;1048;650;26;35;190
American Light Lager;1325;1053;1012;541;3818;452;1703;90;1041;700;125;;
American IPA;2082;1062;1013;644;5963;1071;2839;90;1043;700;15;;
American Pale Ale;2082;1051;1,017E+16;447;2933;582;265;90;104;350;;;
Saison;1893;1072;1002;912;1389;496;2517;80;1041;700;;10;2667
Sweet Stout;350;1,096E+16;1032;84;842;4423;400;60;1084;750;30;;
American IPA;400;1052;1013;509;3124;437;285;90;1073;700;30;;
American IPA;230;1072;1014;767;0;2678;110;60;1151;350;;;180
American Pale Ale;210;1052;1015;492;5583;831;285;90;1038;650;;35;200
American IPA;3975;1068;101;754;4743;595;4921;90;1055;700;15;10;2389
American IPA;220;1067;1012;715;689;783;300;120;1,049E+16;750;30;75;180
Saison;4164;1069;1013;738;3314;387;4921;90;1058;700;15;10;2333
Sweet Stout;250;1,066E+16;1021;60;2762;500;285;90;1058;610;26;;
American IPA;1893;1081;1,027E+16;704;13985;1052;871;60;1175;720;;;2111
American Pale Ale;210;1056;101;595;3608;547;280;75;1042;670;30;5;200
Robust Porter;1893;1,076E+16;1,019E+16;744;0;3496;1893;60;;750;;;
American IPA;128;1045;101;453;8583;1018;180;65;1032;850;38;75;160
Irish Red Ale;210;1057;1012;589;3211;2089;285;60;1042;750;;5;190
American IPA;1893;1064;1016;625;0;324;1893;60;;750;;;
American IPA;190;1064;1011;688;6785;732;300;45;104;650;30;35;180
American Pale Ale;230;106;1015;587;246;1199;285;60;1048;750;;;
American Pale Ale;2082;1,059E+16;101;644;4304;362;2839;60;1043;800;;;2111
Irish Red Ale;2271;1057;1016;539;2234;1406;1136;60;1115;350;;;
American Pale Ale;2082;1044;1011;43;1889;337;265;90;1034;650;15;5;2111
American IPA;230;1067;1011;728;580;1047;300;60;1051;700;40;75;200
American Pale Ale;1893;1062;1016;611;7056;672;946;60;1124;350;;;2111
American Pale Ale;176022;1,059E+16;1015;581;151;496;181889;60;1057;750;13;;1833
Saison;2082;1045;1,009E+16;473;2792;446;265;60;1036;700;15;35;
American IPA;1893;1072;1018;706;5919;633;2839;60;1048;700;15;;
American Pale Ale;200;1055;1012;564;3443;687;180;60;1061;770;50;75;190
American IPA;1893;1063;1011;681;5535;81;2271;60;1053;720;;5;200
Saison;500;105;101;525;1443;32;560;60;1042;800;30;35;300
American Amber Ale;2082;1055;1014;541;13813;1447;2839;60;104;700;15;35;
American IPA;1893;1074;1,019E+16;725;8806;566;2536;60;1055;720;13;75;2056
American IPA;1325;108;1015;849;478;731;1325;60;108;670;;;1778
American IPA;1893;1097;1025;938;15903;631;2461;60;1074;700;15;10;1889
American Pale Ale;260;1045;1013;422;5404;1294;130;60;1,049E+16;700;;;
Blonde Ale;180;104;1008;428;3035;347;148;60;1,049E+16;620;;5;190
Sweet Stout;2082;1063;1021;55;3806;4282;2839;90;1046;850;15;;2111
American Pale Ale;250;1047;1011;471;3251;764;320;90;1037;750;30;;200
Imperial IPA;1893;1074;1,019E+16;722;8177;803;265;60;1053;640;15;5;1889
American IPA;210;1067;1012;734;6818;847;285;60;105;650;;;
American Pale Ale;2271;1056;1013;559;4164;579;2934;90;1043;650;133;10;1944
American IPA;1893;1082;1016;87;10032;613;1136;60;1136;350;;;2111
American IPA;2196;1,059E+16;1012;618;8379;45;2574;60;105;680;1077;5;2278
American IPA;600;1089;1,017E+16;942;0;2127;700;60;1,076E+16;800;30;10;180
Imperial IPA;250;1,076E+16;1015;801;11467;642;290;75;1055;700;30;;170
American Pale Ale;2082;1081;1015;855;0;1283;2839;90;1,059E+16;700;15;125;200
American IPA;1893;1072;1013;768;6732;527;2461;60;1055;750;;35;200
American Pale Ale;450;1054;101;569;4213;1289;500;60;1048;700;;;200
Saison;210;1031;1006;328;0;436;285;60;1023;700;30;;230
American Pale Ale;2082;1047;1013;451;4665;468;265;60;;750;;;
American IPA;1893;1069;1,017E+16;68;4881;753;1136;60;1045;350;;;2111
American IPA;120;1064;1013;677;7492;1164;160;60;1048;700;;;200
American IPA;379;1063;1012;67;5771;51;568;60;1042;350;;125;200
American IPA;1987;107;1018;688;511;932;2366;60;1,059E+16;700;125;;1722
American IPA;200;1055;1,009E+16;598;4854;521;285;75;1,039E+16;700;30;;190
Blonde Ale;2082;1041;1008;44;2504;367;2574;60;1033;700;;;2111
American Light Lager;230;1048;1013;463;1772;543;285;60;1,039E+16;350;30;20;
American Pale Ale;4164;1053;1014;508;718;1271;4542;60;1048;700;133;5;1833
American IPA;210;1043;1014;38;2875;528;285;60;1032;700;50;;
American Pale Ale;4750;1,049E+16;1,009E+16;518;3229;329;4900;60;1047;750;15;;
American Amber Ale;2082;1075;1015;794;7435;1592;265;60;1,059E+16;720;;;1944
Robust Porter;946;1075;1018;749;7176;400;1893;90;1037;700;;;
American Pale Ale;1514;1047;1008;509;4012;328;1893;60;1037;720;;;2389
American Light Lager;600;1058;102;501;3252;2838;800;75;1043;840;30;;
Saison;2082;1054;1015;516;4336;519;2839;90;104;700;15;35;2111
American IPA;1893;1068;1,017E+16;67;9117;1264;1703;60;1051;350;;125;200
Saison;2082;1033;1,007E+16;337;1739;335;265;60;1026;700;14;;
American Pale Ale;400;104;1008;418;7673;793;460;60;1035;550;26;;240
Sweet Stout;1893;1055;1016;509;3027;500;946;60;1109;350;;35;1833
Irish Red Ale;1893;1045;1014;41;2538;1067;1325;60;1064;700;125;;200
American Light Lager;690;1072;1018;707;0;102;850;60;1058;900;25;;
Saison;2082;107;1,007E+16;826;3161;568;265;90;1055;750;14;10;
American IPA;210;106;1015;592;6902;421;250;70;1051;730;;;200
American Pale Ale;600;1054;1012;549;3781;64;800;60;1041;700;;75;200
Saison;230;1051;1011;523;2404;834;285;70;1041;700;30;;240
American IPA;230;1063;1016;618;6893;665;325;60;;700;;;200
American IPA;180;1069;1018;672;0;647;270;90;1046;700;3,57143E+16;;
American Amber Ale;1893;1064;1018;604;8895;974;265;60;1045;650;15;35;1944
American Pale Ale;2082;105;1,009E+16;538;3676;663;2688;60;1,039E+16;650;14;;200
American IPA;2271;1,059E+16;1,009E+16;66;7144;696;2839;60;1047;700;15;75;200
American Pale Ale;190;1047;1008;513;5002;653;180;60;105;750;;35;180
American Light Lager;194;1,049E+16;1,007E+16;556;0;393;225;60;1042;730;30;;
American IPA;2082;1,076E+16;1018;765;6019;781;2839;90;1056;750;133;;200
Sweet Stout;1893;1063;1022;541;3048;400;757;60;1158;350;;;2278
American IPA;2082;1067;1016;669;5114;1273;2461;60;1057;750;15;75;1556
American Pale Ale;120;1052;101;55;3782;906;100;60;1062;350;;;
American IPA;4732;1075;1,017E+16;754;765;861;530;60;1067;840;15;10;1889
American Pale Ale;2082;105;1013;494;0;719;2839;60;;700;;;
Saison;757;1052;1011;541;3119;51;106;60;1037;700;;;2222
Sweet Stout;379;1,059E+16;1015;581;425;368;473;60;1047;700;15;;
American IPA;1893;1064;1016;625;2534;1088;265;60;1046;700;15;;200
American IPA;235;1064;1018;603;6354;676;160;60;1094;750;;;220
Blonde Ale;150;1051;101;542;2017;537;150;60;1051;250;;75;220
American Pale Ale;2082;1057;101;618;1702;481;2839;60;1042;500;15;5;200
